ticket_id,sla_limit_hours,resolution_hours,sla_breached,first_response_minutes,uptime_impact_minutes
TKT-11966,72,65.37,0.0,104.0,0.0
TKT-11967,24,3.65,0.0,5.0,0.0
TKT-11968,72,50.23,0.0,93.0,0.0
TKT-11969,72,2.42,0.0,18.0,0.0
TKT-11970,72,94.23,1.0,20.0,0.0
TKT-11971,4,1.36,0.0,29.0,43.0
TKT-11972,72,64.71,0.0,54.0,0.0
TKT-11973,8,3.14,0.0,55.0,87.0
TKT-11974,72,117.43,1.0,100.0,0.0
TKT-11975,72,55.59,0.0,19.0,0.0
TKT-11976,24,15.52,0.0,78.0,0.0
TKT-11977,72,3.45,0.0,17.0,0.0
TKT-11978,72,70.69,0.0,37.0,0.0
TKT-11979,24,10.38,0.0,97.0,0.0
TKT-11980,8,43.61,1.0,46.0,128.0
TKT-11981,24,11.23,0.0,117.0,0.0
TKT-11982,72,,,,0.0
TKT-11983,72,14.16,0.0,58.0,0.0
TKT-11984,8,5.88,0.0,91.0,222.0
TKT-11985,72,,,,0.0
TKT-11986,8,7.66,0.0,59.0,212.0
TKT-11987,24,21.54,0.0,81.0,0.0
TKT-11988,4,3.62,0.0,38.0,77.0
TKT-11989,24,16.86,0.0,71.0,0.0
TKT-11990,4,1.28,0.0,100.0,297.0
TKT-11991,24,15.38,0.0,5.0,0.0
TKT-11992,8,3.29,0.0,73.0,109.0
TKT-11993,72,51.15,0.0,98.0,0.0
TKT-11994,72,92.92,1.0,75.0,0.0
TKT-11995,24,11.29,0.0,13.0,0.0
TKT-11996,24,14.31,0.0,115.0,0.0
TKT-11997,72,45.5,0.0,47.0,0.0
TKT-11998,72,92.17,1.0,86.0,0.0
TKT-11999,24,20.52,0.0,27.0,0.0
TKT-12000,24,10.19,0.0,112.0,0.0
TKT-12001,72,43.57,0.0,55.0,0.0
TKT-12002,72,32.92,0.0,74.0,0.0
TKT-12003,72,11.41,0.0,111.0,0.0
TKT-12004,72,36.78,0.0,80.0,0.0
TKT-12005,24,34.1,1.0,23.0,0.0
TKT-12006,24,8.8,0.0,72.0,0.0
TKT-12007,24,15.04,0.0,110.0,0.0
TKT-12008,72,105.75,1.0,75.0,0.0
TKT-12009,24,12.53,0.0,96.0,0.0
TKT-12010,72,0.19,0.0,28.0,0.0
TKT-12011,8,7.62,0.0,51.0,99.0
TKT-12012,8,3.01,0.0,84.0,34.0
TKT-12013,72,49.8,0.0,95.0,0.0
TKT-12014,24,35.63,1.0,54.0,0.0
TKT-12015,72,4.94,0.0,9.0,0.0
TKT-12016,24,41.36,1.0,38.0,0.0
TKT-12017,4,1.85,0.0,85.0,202.0
TKT-12018,8,1.39,0.0,37.0,127.0
TKT-12019,8,3.18,0.0,71.0,237.0
TKT-12020,72,32.97,0.0,74.0,0.0
TKT-12021,72,57.32,0.0,63.0,0.0
TKT-12022,72,55.02,0.0,41.0,0.0
TKT-12023,72,30.56,0.0,64.0,0.0
TKT-12024,8,1.65,0.0,37.0,282.0
TKT-12025,24,,,,0.0
TKT-12026,4,3.16,0.0,59.0,208.0
TKT-12027,24,23.58,0.0,106.0,0.0
TKT-12028,72,62.15,0.0,101.0,0.0
TKT-12029,72,0.41,0.0,111.0,0.0
TKT-12030,4,,,,107.0
TKT-12031,72,17.5,0.0,88.0,0.0
TKT-12032,24,,,,0.0
TKT-12033,8,15.14,1.0,78.0,97.0
TKT-12034,8,1.36,0.0,39.0,263.0
TKT-12035,24,11.72,0.0,92.0,0.0
TKT-12036,8,2.64,0.0,101.0,33.0
TKT-12037,4,,,,274.0
TKT-12038,8,0.45,0.0,14.0,74.0
TKT-12039,72,,,,0.0
TKT-12040,24,12.99,0.0,81.0,0.0
TKT-12041,72,59.78,0.0,55.0,0.0
TKT-12042,72,30.64,0.0,27.0,0.0
TKT-12043,8,2.88,0.0,72.0,73.0
TKT-12044,24,,,,0.0
TKT-12045,8,7.77,0.0,80.0,95.0
TKT-12046,72,70.93,0.0,44.0,0.0
TKT-12047,8,5.65,0.0,77.0,30.0
TKT-12048,8,4.64,0.0,73.0,254.0
TKT-12049,4,1.02,0.0,114.0,155.0
TKT-12050,24,5.3,0.0,58.0,0.0
TKT-12051,24,8.81,0.0,55.0,0.0
TKT-12052,72,89.1,1.0,108.0,0.0
TKT-12053,72,67.74,0.0,84.0,0.0
TKT-12054,8,0.85,0.0,13.0,192.0
TKT-12055,72,27.79,0.0,77.0,0.0
TKT-12056,4,0.45,0.0,24.0,298.0
TKT-12057,8,0.79,0.0,68.0,21.0
TKT-12058,24,,,,0.0
TKT-12059,72,,,,0.0
TKT-12060,72,29.97,0.0,26.0,0.0
TKT-12061,8,0.41,0.0,38.0,259.0
TKT-12062,24,3.86,0.0,18.0,0.0
TKT-12063,72,118.08,1.0,32.0,0.0
TKT-12064,4,3.53,0.0,16.0,43.0
TKT-12065,72,57.47,0.0,73.0,0.0
TKT-12066,72,11.12,0.0,86.0,0.0
TKT-12067,72,118.7,1.0,82.0,0.0
TKT-12068,24,11.09,0.0,7.0,0.0
TKT-12069,24,1.51,0.0,62.0,0.0
TKT-12070,72,,,,0.0
TKT-12071,72,38.99,0.0,66.0,0.0
TKT-12072,8,7.04,0.0,110.0,253.0
TKT-12073,72,37.39,0.0,24.0,0.0
TKT-12074,24,0.87,0.0,85.0,0.0
TKT-12075,72,35.36,0.0,15.0,0.0
TKT-12076,24,7.29,0.0,64.0,0.0
TKT-12077,72,98.33,1.0,19.0,0.0
TKT-12078,24,15.11,0.0,49.0,0.0
TKT-12079,8,21.55,1.0,8.0,94.0
TKT-12080,24,2.31,0.0,115.0,0.0
TKT-12081,72,,,,0.0
TKT-12082,72,110.13,1.0,27.0,0.0
TKT-12083,72,37.99,0.0,34.0,0.0
TKT-12084,72,9.01,0.0,98.0,0.0
TKT-12085,72,9.46,0.0,44.0,0.0
TKT-12086,8,3.7,0.0,81.0,93.0
TKT-12087,72,93.91,1.0,58.0,0.0
TKT-12088,24,18.62,0.0,113.0,0.0
TKT-12089,8,6.24,0.0,107.0,269.0
TKT-12090,8,3.33,0.0,42.0,89.0
TKT-12091,8,4.17,0.0,73.0,31.0
TKT-12092,24,52.1,1.0,47.0,0.0
TKT-12093,8,5.73,0.0,61.0,95.0
TKT-12094,72,52.3,0.0,69.0,0.0
TKT-12095,4,0.66,0.0,54.0,274.0
TKT-12096,8,7.85,0.0,59.0,251.0
TKT-12097,24,11.97,0.0,102.0,0.0
TKT-12098,72,62.22,0.0,112.0,0.0
TKT-12099,24,10.26,0.0,50.0,0.0
TKT-12100,24,68.21,1.0,10.0,0.0
TKT-12101,4,39.93,1.0,81.0,272.0
TKT-12102,8,,,,222.0
TKT-12103,72,106.28,1.0,28.0,0.0
TKT-12104,8,29.42,1.0,30.0,85.0
TKT-12105,8,5.96,0.0,29.0,20.0
TKT-12106,72,,,,0.0
TKT-12107,24,15.2,0.0,116.0,0.0
TKT-12108,72,41.12,0.0,49.0,0.0
TKT-12109,8,4.31,0.0,31.0,190.0
TKT-12110,8,7.6,0.0,66.0,171.0
TKT-12111,24,19.72,0.0,53.0,0.0
TKT-12112,72,16.12,0.0,39.0,0.0
TKT-12113,24,8.07,0.0,41.0,0.0
TKT-12114,24,23.56,0.0,31.0,0.0
TKT-12115,24,15.87,0.0,47.0,0.0
TKT-12116,8,3.03,0.0,84.0,292.0
TKT-12117,24,,,,0.0
TKT-12118,24,17.85,0.0,53.0,0.0
TKT-12119,72,119.61,1.0,96.0,0.0
TKT-12120,4,2.95,0.0,99.0,218.0
TKT-12121,72,,,,0.0
TKT-12122,4,2.35,0.0,111.0,167.0
TKT-12123,8,5.93,0.0,12.0,80.0
TKT-12124,72,13.5,0.0,17.0,0.0
TKT-12125,24,9.19,0.0,5.0,0.0
TKT-12126,72,81.34,1.0,98.0,0.0
TKT-12127,4,43.94,1.0,19.0,161.0
TKT-12128,8,0.1,0.0,104.0,59.0
TKT-12129,72,40.23,0.0,49.0,0.0
TKT-12130,4,2.29,0.0,82.0,225.0
TKT-12131,24,25.54,1.0,41.0,0.0
TKT-12132,4,2.77,0.0,74.0,34.0
TKT-12133,24,27.45,1.0,119.0,0.0
TKT-12134,72,7.73,0.0,84.0,0.0
TKT-12135,72,35.31,0.0,16.0,0.0
TKT-12136,72,13.18,0.0,46.0,0.0
TKT-12137,72,50.64,0.0,78.0,0.0
TKT-12138,72,0.52,0.0,19.0,0.0
TKT-12139,24,19.25,0.0,68.0,0.0
TKT-12140,72,9.56,0.0,114.0,0.0
TKT-12141,24,14.58,0.0,37.0,0.0
TKT-12142,24,4.63,0.0,93.0,0.0
TKT-12143,24,23.12,0.0,62.0,0.0
TKT-12144,8,46.91,1.0,115.0,35.0
TKT-12145,72,9.07,0.0,48.0,0.0
TKT-12146,72,117.08,1.0,42.0,0.0
TKT-12147,72,32.6,0.0,17.0,0.0
TKT-12148,8,,,,159.0
TKT-12149,8,4.61,0.0,110.0,268.0
TKT-12150,4,,,,207.0
TKT-12151,72,44.81,0.0,70.0,0.0
TKT-12152,8,4.91,0.0,98.0,245.0
TKT-12153,72,10.8,0.0,41.0,0.0
TKT-12154,24,,,,0.0
TKT-12155,24,10.46,0.0,110.0,0.0
TKT-12156,8,31.21,1.0,29.0,208.0
TKT-12157,24,6.37,0.0,5.0,0.0
TKT-12158,24,7.52,0.0,112.0,0.0
TKT-12159,72,56.5,0.0,112.0,0.0
TKT-12160,72,35.74,0.0,90.0,0.0
TKT-12161,24,23.8,0.0,98.0,0.0
TKT-12162,72,20.81,0.0,105.0,0.0
TKT-12163,72,49.34,0.0,118.0,0.0
TKT-12164,8,3.1,0.0,104.0,295.0
TKT-12165,24,63.96,1.0,29.0,0.0
TKT-12166,24,0.36,0.0,39.0,0.0
TKT-12167,72,71.08,0.0,16.0,0.0
TKT-12168,8,6.33,0.0,45.0,55.0
TKT-12169,24,6.11,0.0,114.0,0.0
TKT-12170,72,84.6,1.0,71.0,0.0
TKT-12171,72,,,,0.0
TKT-12172,8,7.89,0.0,13.0,110.0
TKT-12173,72,2.08,0.0,16.0,0.0
TKT-12174,72,,,,0.0
TKT-12175,72,65.25,0.0,34.0,0.0
TKT-12176,24,14.69,0.0,71.0,0.0
TKT-12177,72,22.04,0.0,83.0,0.0
TKT-12178,8,,,,115.0
TKT-12179,72,14.86,0.0,98.0,0.0
TKT-12180,24,12.57,0.0,82.0,0.0
TKT-12181,8,3.3,0.0,36.0,154.0
TKT-12182,8,2.12,0.0,72.0,87.0
TKT-12183,24,5.84,0.0,62.0,0.0
TKT-12184,72,62.34,0.0,9.0,0.0
TKT-12185,72,43.24,0.0,40.0,0.0
TKT-12186,72,114.36,1.0,30.0,0.0
TKT-12187,8,3.47,0.0,28.0,94.0
TKT-12188,8,2.72,0.0,22.0,26.0
TKT-12189,8,4.14,0.0,73.0,144.0
TKT-12190,72,34.07,0.0,73.0,0.0
TKT-12191,24,43.96,1.0,66.0,0.0
TKT-12192,4,2.83,0.0,111.0,260.0
TKT-12193,8,3.58,0.0,43.0,211.0
TKT-12194,8,6.04,0.0,83.0,97.0
TKT-12195,4,2.46,0.0,60.0,159.0
TKT-12196,72,37.38,0.0,91.0,0.0
TKT-12197,24,23.23,0.0,9.0,0.0
TKT-12198,24,15.55,0.0,108.0,0.0
TKT-12199,4,1.62,0.0,35.0,11.0
TKT-12200,72,79.86,1.0,117.0,0.0
TKT-12201,72,9.17,0.0,109.0,0.0
TKT-12202,72,,,,0.0
TKT-12203,8,2.65,0.0,66.0,40.0
TKT-12204,8,0.87,0.0,44.0,263.0
TKT-12205,24,,,,0.0
TKT-12206,72,60.79,0.0,90.0,0.0
TKT-12207,72,26.03,0.0,95.0,0.0
TKT-12208,72,23.78,0.0,56.0,0.0
TKT-12209,72,10.75,0.0,38.0,0.0
TKT-12210,72,22.4,0.0,84.0,0.0
TKT-12211,24,40.5,1.0,72.0,0.0
TKT-12212,24,21.79,0.0,118.0,0.0
TKT-12213,4,47.6,1.0,78.0,24.0
TKT-12214,72,40.18,0.0,117.0,0.0
TKT-12215,4,1.25,0.0,97.0,178.0
TKT-12216,72,41.68,0.0,72.0,0.0
TKT-12217,24,,,,0.0
TKT-12218,24,18.25,0.0,28.0,0.0
TKT-12219,24,10.42,0.0,62.0,0.0
TKT-12220,24,22.45,0.0,65.0,0.0
TKT-12221,8,1.55,0.0,93.0,136.0
TKT-12222,72,31.86,0.0,95.0,0.0
TKT-12223,72,47.76,0.0,40.0,0.0
TKT-12224,72,10.45,0.0,76.0,0.0
TKT-12225,8,5.31,0.0,98.0,29.0
TKT-12226,72,9.96,0.0,109.0,0.0
TKT-12227,4,1.24,0.0,107.0,161.0
TKT-12228,72,47.92,0.0,96.0,0.0
TKT-12229,72,18.85,0.0,34.0,0.0
TKT-12230,72,12.85,0.0,12.0,0.0
TKT-12231,8,5.03,0.0,16.0,292.0
TKT-12232,72,51.05,0.0,63.0,0.0
TKT-12233,24,13.14,0.0,5.0,0.0
TKT-12234,72,60.31,0.0,95.0,0.0
TKT-12235,72,30.92,0.0,115.0,0.0
TKT-12236,72,74.89,1.0,14.0,0.0
TKT-12237,24,10.74,0.0,116.0,0.0
TKT-12238,8,0.44,0.0,30.0,126.0
TKT-12239,24,11.36,0.0,12.0,0.0
TKT-12240,8,,,,134.0
TKT-12241,72,,,,0.0
TKT-12242,8,5.83,0.0,86.0,291.0
TKT-12243,72,28.53,0.0,35.0,0.0
TKT-12244,72,2.45,0.0,41.0,0.0
TKT-12245,72,50.98,0.0,47.0,0.0
TKT-12246,8,0.36,0.0,79.0,38.0
TKT-12247,8,39.17,1.0,102.0,118.0
TKT-12248,24,17.26,0.0,108.0,0.0
TKT-12249,8,0.32,0.0,74.0,247.0
TKT-12250,8,6.75,0.0,119.0,261.0
TKT-12251,8,40.1,1.0,23.0,18.0
TKT-12252,8,0.13,0.0,69.0,200.0
TKT-12253,4,3.08,0.0,15.0,205.0
TKT-12254,8,32.07,1.0,28.0,102.0
TKT-12255,24,8.87,0.0,33.0,0.0
TKT-12256,24,41.78,1.0,54.0,0.0
TKT-12257,24,22.56,0.0,37.0,0.0
TKT-12258,24,,,,0.0
TKT-12259,72,64.15,0.0,54.0,0.0
TKT-12260,24,0.99,0.0,77.0,0.0
TKT-12261,24,20.17,0.0,25.0,0.0
TKT-12262,24,9.7,0.0,103.0,0.0
TKT-12263,4,35.31,1.0,64.0,107.0
TKT-12264,24,1.87,0.0,19.0,0.0
TKT-12265,4,32.62,1.0,108.0,143.0
TKT-12266,4,1.65,0.0,48.0,250.0
TKT-12267,24,1.71,0.0,39.0,0.0
TKT-12268,24,20.98,0.0,76.0,0.0
TKT-12269,8,2.49,0.0,63.0,194.0
TKT-12270,24,21.02,0.0,24.0,0.0
TKT-12271,4,1.05,0.0,50.0,216.0
TKT-12272,24,19.17,0.0,111.0,0.0
TKT-12273,8,6.14,0.0,17.0,65.0
TKT-12274,24,21.65,0.0,44.0,0.0
TKT-12275,72,0.99,0.0,65.0,0.0
TKT-12276,24,13.57,0.0,86.0,0.0
TKT-12277,72,20.94,0.0,38.0,0.0
TKT-12278,4,0.68,0.0,109.0,250.0
TKT-12279,24,12.08,0.0,115.0,0.0
TKT-12280,72,48.06,0.0,114.0,0.0
TKT-12281,4,0.2,0.0,16.0,65.0
TKT-12282,8,7.39,0.0,117.0,221.0
TKT-12283,72,,,,0.0
TKT-12284,72,65.43,0.0,54.0,0.0
TKT-12285,24,4.35,0.0,39.0,0.0
TKT-12286,8,3.7,0.0,117.0,110.0
TKT-12287,4,0.93,0.0,81.0,243.0
TKT-12288,24,15.59,0.0,32.0,0.0
TKT-12289,72,22.99,0.0,41.0,0.0
TKT-12290,72,,,,0.0
TKT-12291,72,17.17,0.0,112.0,0.0
TKT-12292,72,24.27,0.0,28.0,0.0
TKT-12293,72,35.85,0.0,44.0,0.0
TKT-12294,8,3.93,0.0,62.0,277.0
TKT-12295,72,,,,0.0
TKT-12296,24,17.75,0.0,103.0,0.0
TKT-12297,24,53.5,1.0,115.0,0.0
TKT-12298,4,0.2,0.0,32.0,279.0
TKT-12299,72,84.88,1.0,68.0,0.0
TKT-12300,24,6.8,0.0,75.0,0.0
TKT-12301,24,3.19,0.0,10.0,0.0
TKT-12302,72,88.8,1.0,43.0,0.0
TKT-12303,4,3.37,0.0,85.0,48.0
TKT-12304,8,6.85,0.0,30.0,149.0
TKT-12305,24,41.98,1.0,72.0,0.0
TKT-12306,72,99.11,1.0,84.0,0.0
TKT-12307,72,36.72,0.0,76.0,0.0
TKT-12308,72,55.19,0.0,72.0,0.0
TKT-12309,72,,,,0.0
TKT-12310,72,24.97,0.0,83.0,0.0
TKT-12311,8,4.03,0.0,65.0,292.0
TKT-12312,8,,,,16.0
TKT-12313,24,0.65,0.0,85.0,0.0
TKT-12314,4,3.7,0.0,62.0,212.0
TKT-12315,72,16.19,0.0,92.0,0.0
TKT-12316,24,15.31,0.0,12.0,0.0
TKT-12317,8,1.35,0.0,59.0,92.0
TKT-12318,72,,,,0.0
TKT-12319,72,64.97,0.0,58.0,0.0
TKT-12320,72,77.3,1.0,80.0,0.0
TKT-12321,72,35.2,0.0,34.0,0.0
TKT-12322,72,30.53,0.0,112.0,0.0
TKT-12323,24,2.69,0.0,84.0,0.0
TKT-12324,8,6.05,0.0,120.0,102.0
TKT-12325,24,3.28,0.0,45.0,0.0
TKT-12326,4,3.62,0.0,62.0,23.0
TKT-12327,8,3.79,0.0,61.0,83.0
TKT-12328,24,12.76,0.0,64.0,0.0
TKT-12329,72,56.47,0.0,99.0,0.0
TKT-12330,72,25.98,0.0,98.0,0.0
TKT-12331,24,10.58,0.0,21.0,0.0
TKT-12332,8,7.73,0.0,94.0,96.0
TKT-12333,72,19.1,0.0,53.0,0.0
TKT-12334,72,13.96,0.0,18.0,0.0
TKT-12335,72,15.08,0.0,104.0,0.0
TKT-12336,72,26.42,0.0,14.0,0.0
TKT-12337,72,,,,0.0
TKT-12338,4,3.12,0.0,26.0,191.0
TKT-12339,4,5.56,1.0,49.0,152.0
TKT-12340,4,0.36,0.0,109.0,148.0
TKT-12341,72,60.51,0.0,59.0,0.0
TKT-12342,72,55.18,0.0,84.0,0.0
TKT-12343,72,12.51,0.0,69.0,0.0
TKT-12344,24,23.8,0.0,85.0,0.0
TKT-12345,72,32.09,0.0,76.0,0.0
TKT-12346,72,0.95,0.0,115.0,0.0
TKT-12347,24,16.35,0.0,44.0,0.0
TKT-12348,72,44.76,0.0,83.0,0.0
TKT-12349,4,3.59,0.0,80.0,88.0
TKT-12350,72,109.85,1.0,111.0,0.0
TKT-12351,24,14.87,0.0,115.0,0.0
TKT-12352,72,32.41,0.0,75.0,0.0
TKT-12353,72,43.01,0.0,120.0,0.0
TKT-12354,72,96.92,1.0,56.0,0.0
TKT-12355,72,69.31,0.0,94.0,0.0
TKT-12356,72,,,,0.0
TKT-12357,72,0.6,0.0,67.0,0.0
TKT-12358,24,23.32,0.0,100.0,0.0
TKT-12359,24,19.17,0.0,54.0,0.0
TKT-12360,72,5.8,0.0,105.0,0.0
TKT-12361,72,62.92,0.0,109.0,0.0
TKT-12362,4,1.2,0.0,67.0,155.0
TKT-12363,24,16.43,0.0,25.0,0.0
TKT-12364,24,0.67,0.0,58.0,0.0
TKT-12365,24,11.59,0.0,47.0,0.0
TKT-12366,72,28.95,0.0,99.0,0.0
TKT-12367,4,1.56,0.0,104.0,149.0
TKT-12368,24,1.58,0.0,71.0,0.0
TKT-12369,4,1.74,0.0,84.0,171.0
TKT-12370,24,11.5,0.0,40.0,0.0
TKT-12371,72,1.52,0.0,14.0,0.0
TKT-12372,24,38.61,1.0,23.0,0.0
TKT-12373,4,3.74,0.0,106.0,68.0
TKT-12374,24,,,,0.0
TKT-12375,24,65.45,1.0,112.0,0.0
TKT-12376,8,2.92,0.0,18.0,290.0
TKT-12377,4,2.41,0.0,12.0,238.0
TKT-12378,24,,,,0.0
TKT-12379,72,6.84,0.0,44.0,0.0
TKT-12380,72,,,,0.0
TKT-12381,72,,,,0.0
TKT-12382,72,86.16,1.0,7.0,0.0
TKT-12383,8,0.13,0.0,112.0,69.0
TKT-12384,72,46.27,0.0,61.0,0.0
TKT-12385,24,22.42,0.0,26.0,0.0
TKT-12386,72,50.92,0.0,101.0,0.0
TKT-12387,72,61.47,0.0,67.0,0.0
TKT-12388,72,66.08,0.0,84.0,0.0
TKT-12389,8,43.75,1.0,53.0,205.0
TKT-12390,8,2.06,0.0,100.0,227.0
TKT-12391,24,11.09,0.0,10.0,0.0
TKT-12392,24,52.64,1.0,108.0,0.0
TKT-12393,8,2.98,0.0,53.0,149.0
TKT-12394,8,2.86,0.0,96.0,231.0
TKT-12395,24,7.56,0.0,119.0,0.0
TKT-12396,72,,,,0.0
TKT-12397,4,,,,54.0
TKT-12398,72,,,,0.0
TKT-12399,72,79.76,1.0,54.0,0.0
TKT-12400,72,102.14,1.0,28.0,0.0
TKT-12401,72,1.94,0.0,98.0,0.0
TKT-12402,24,,,,0.0
TKT-12403,72,16.04,0.0,112.0,0.0
TKT-12404,8,2.71,0.0,78.0,58.0
TKT-12405,8,0.53,0.0,83.0,146.0
TKT-12406,4,3.41,0.0,51.0,156.0
TKT-12407,24,,,,0.0
TKT-12408,72,17.0,0.0,17.0,0.0
TKT-12409,24,14.44,0.0,95.0,0.0
TKT-12410,72,,,,0.0
TKT-12411,72,21.0,0.0,6.0,0.0
TKT-12412,24,8.37,0.0,7.0,0.0
TKT-12413,72,24.71,0.0,115.0,0.0
TKT-12414,4,1.29,0.0,88.0,98.0
TKT-12415,72,84.16,1.0,119.0,0.0
TKT-12416,24,9.15,0.0,83.0,0.0
TKT-12417,24,9.25,0.0,47.0,0.0
TKT-12418,8,0.31,0.0,91.0,34.0
TKT-12419,24,20.92,0.0,92.0,0.0
TKT-12420,24,16.13,0.0,47.0,0.0
TKT-12421,72,11.86,0.0,38.0,0.0
TKT-12422,24,9.45,0.0,81.0,0.0
TKT-12423,72,42.82,0.0,56.0,0.0
TKT-12424,72,,,,0.0
TKT-12425,72,3.08,0.0,41.0,0.0
TKT-12426,8,,,,89.0
TKT-12427,72,43.48,0.0,40.0,0.0
TKT-12428,24,,,,0.0
TKT-12429,4,2.9,0.0,16.0,21.0
TKT-12430,24,,,,0.0
TKT-12431,72,,,,0.0
TKT-12432,24,12.05,0.0,25.0,0.0
TKT-12433,8,47.33,1.0,33.0,156.0
TKT-12434,72,54.58,0.0,97.0,0.0
TKT-12435,24,23.44,0.0,31.0,0.0
TKT-12436,24,20.99,0.0,16.0,0.0
TKT-12437,8,1.79,0.0,47.0,19.0
TKT-12438,72,20.84,0.0,93.0,0.0
TKT-12439,72,8.09,0.0,118.0,0.0
TKT-12440,24,,,,0.0
TKT-12441,8,0.58,0.0,41.0,45.0
TKT-12442,72,71.73,0.0,8.0,0.0
TKT-12443,24,1.23,0.0,99.0,0.0
TKT-12444,24,10.71,0.0,41.0,0.0
TKT-12445,24,,,,0.0
TKT-12446,24,71.57,1.0,14.0,0.0
TKT-12447,4,13.11,1.0,69.0,268.0
TKT-12448,24,27.9,1.0,13.0,0.0
TKT-12449,24,71.05,1.0,72.0,0.0
TKT-12450,24,,,,0.0
TKT-12451,8,3.76,0.0,88.0,39.0
TKT-12452,72,24.58,0.0,98.0,0.0
TKT-12453,4,2.67,0.0,109.0,124.0
TKT-12454,24,3.21,0.0,37.0,0.0
TKT-12455,72,46.12,0.0,59.0,0.0
TKT-12456,4,3.37,0.0,69.0,227.0
TKT-12457,72,60.82,0.0,11.0,0.0
TKT-12458,24,18.21,0.0,119.0,0.0
TKT-12459,24,15.92,0.0,44.0,0.0
TKT-12460,24,17.71,0.0,59.0,0.0
TKT-12461,24,10.03,0.0,41.0,0.0
TKT-12462,72,101.14,1.0,65.0,0.0
TKT-12463,4,,,,93.0
TKT-12464,8,,,,92.0
TKT-12465,24,13.27,0.0,11.0,0.0
TKT-12466,8,3.35,0.0,93.0,142.0
TKT-12467,8,1.19,0.0,77.0,177.0
TKT-12468,8,6.23,0.0,58.0,52.0
TKT-12469,72,7.81,0.0,113.0,0.0
TKT-12470,24,6.81,0.0,55.0,0.0
TKT-12471,72,8.12,0.0,48.0,0.0
TKT-12472,72,52.17,0.0,77.0,0.0
TKT-12473,72,42.04,0.0,8.0,0.0
TKT-12474,8,0.17,0.0,13.0,180.0
TKT-12475,72,103.16,1.0,45.0,0.0
TKT-12476,72,61.17,0.0,10.0,0.0
TKT-12477,24,7.8,0.0,25.0,0.0
TKT-12478,8,,,,277.0
TKT-12479,24,44.8,1.0,69.0,0.0
TKT-12480,72,,,,0.0
TKT-12481,24,8.94,0.0,14.0,0.0
TKT-12482,72,39.84,0.0,65.0,0.0
TKT-12483,24,1.31,0.0,86.0,0.0
TKT-12484,8,7.44,0.0,20.0,92.0
TKT-12485,8,3.13,0.0,53.0,53.0
TKT-12486,72,0.23,0.0,39.0,0.0
TKT-12487,8,7.8,0.0,29.0,240.0
TKT-12488,8,,,,290.0
TKT-12489,24,,,,0.0
TKT-12490,24,20.31,0.0,72.0,0.0
TKT-12491,72,15.8,0.0,78.0,0.0
TKT-12492,72,41.89,0.0,44.0,0.0
TKT-12493,24,20.43,0.0,39.0,0.0
TKT-12494,4,1.15,0.0,59.0,154.0
TKT-12495,72,99.67,1.0,43.0,0.0
TKT-12496,24,,,,0.0
TKT-12497,4,1.39,0.0,94.0,287.0
TKT-12498,72,66.42,0.0,72.0,0.0
TKT-12499,24,11.83,0.0,10.0,0.0
TKT-12500,4,,,,13.0
TKT-12501,72,,,,0.0
TKT-12502,24,20.07,0.0,102.0,0.0
TKT-12503,24,0.23,0.0,114.0,0.0
TKT-12504,8,0.55,0.0,23.0,72.0
TKT-12505,4,1.26,0.0,103.0,236.0
TKT-12506,4,3.67,0.0,35.0,138.0
TKT-12507,24,13.77,0.0,42.0,0.0
TKT-12508,4,2.8,0.0,46.0,30.0
TKT-12509,24,17.67,0.0,73.0,0.0
TKT-12510,24,12.56,0.0,113.0,0.0
TKT-12511,24,16.03,0.0,80.0,0.0
TKT-12512,8,3.08,0.0,64.0,264.0
TKT-12513,72,4.16,0.0,55.0,0.0
TKT-12514,8,16.34,1.0,117.0,297.0
TKT-12515,72,42.97,0.0,81.0,0.0
TKT-12516,4,0.46,0.0,91.0,102.0
TKT-12517,8,7.5,0.0,71.0,24.0
TKT-12518,8,2.34,0.0,53.0,298.0
TKT-12519,4,0.33,0.0,92.0,103.0
TKT-12520,24,7.74,0.0,11.0,0.0
TKT-12521,24,0.28,0.0,79.0,0.0
TKT-12522,24,17.32,0.0,26.0,0.0
TKT-12523,72,41.08,0.0,105.0,0.0
TKT-12524,8,6.06,0.0,103.0,64.0
TKT-12525,72,108.99,1.0,11.0,0.0
TKT-12526,24,13.89,0.0,92.0,0.0
TKT-12527,8,6.29,0.0,12.0,131.0
TKT-12528,72,,,,0.0
TKT-12529,24,15.91,0.0,50.0,0.0
TKT-12530,72,15.0,0.0,107.0,0.0
TKT-12531,24,5.8,0.0,103.0,0.0
TKT-12532,72,,,,0.0
TKT-12533,72,23.89,0.0,76.0,0.0
TKT-12534,72,107.36,1.0,94.0,0.0
TKT-12535,8,5.25,0.0,28.0,251.0
TKT-12536,24,,,,0.0
TKT-12537,4,2.92,0.0,102.0,14.0
TKT-12538,24,2.34,0.0,67.0,0.0
TKT-12539,72,4.84,0.0,70.0,0.0
TKT-12540,8,36.57,1.0,120.0,113.0
TKT-12541,72,70.96,0.0,21.0,0.0
TKT-12542,72,12.19,0.0,34.0,0.0
TKT-12543,8,1.74,0.0,72.0,87.0
TKT-12544,24,14.16,0.0,10.0,0.0
TKT-12545,24,2.91,0.0,19.0,0.0
TKT-12546,72,33.97,0.0,61.0,0.0
